,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,description,mls,type,full_link,full_address,lat,long,city_district
0,"6 Pendrith St, Toronto (W4813848) | Zoocasa",1316000,"$1,199,900",2,3,N/A sq. ft.,1,"Welcome To 6 Pendrith; A Stylish Home Thoughtfully Renovated On A Sought After Street! Located Steps To Christie Pits Park, Local Cafes, Ttc, Fiesta Farms + Gardens.. This Home Features Plenty Of Beautiful Outdoor Space To Enjoy, An Accessible Garage, Walk-Out Basement With Rental Potential And Boasts Natural Light Through-Out. This Beauty Is A Great Place To Call Home.",W4813848,Semi-Detached,https://www.zoocasa.com/toronto-on-real-estate/6975748-6-pendrith-st-toronto-on-m6g1r7-vow,"6 Pendrith St, Toronto , Ontario, Canada",43.6673763,-79.4206346,
1,"10 Rutherglen Rd, Toronto (C4802025) | Zoocasa",1780000,"$1,799,000",4,3,N/A sq. ft.,2,"Fabulous South Leaside  Renovated Home Situated On A Quiet One Block Street. New Appliances. This Home Has 2 Independent Hvac Systems. Open Plan Main Floor, Gorgeous Chefs Kitchen. Stunning  Private Backyard 21 X 12 Ft Deck With Tempered Glass Rail. Gas Bbq Connection. This Home Shows 10+ Too Many Features To List.Surrounded By Multi Million Dollar Homes.  Pre Listing Home Inspection Available On Line.Existing Survey Avail",C4802025,Detached,https://www.zoocasa.com/toronto-on-real-estate/6945334-10-rutherglen-rd-toronto-on-m4g-vow,"10 Rutherglen Rd, Toronto , Ontario, Canada",43.7018266,-79.3630002,
2,"135 St Leonard's Ave, Toronto (C4798578) | Zoocasa",3450000,"$3,495,000",4,4,N/A sq. ft.,3,"* Turnkey Lawrence Park Family Home Walking Distance To Yonge Street & The Subway * Fabulous Main Floor Renovated 2019 Features Custom Eat-In Kitchen & Family Rm That Walks-Out To Deck * 4 Generous Bedrooms * 3 Baths Reno'D 2019, Lower Level Bath 2015 * Finished Walk-Out Lower Level With Great Light * Beautifully Landscaped South Lot * New Roof 2015, Eaves 2019, Most Windows 2015,2019 *  Move In & Enjoy Great Family Living * Garage Fits Large Vehicle *",C4798578,Detached,https://www.zoocasa.com/toronto-on-real-estate/6936239-135-st-leonards-ave-toronto-on-m4n1k6-vow,"135 St Leonard's Ave, Toronto , Ontario, Canada",43.7228187,-79.3922674,
3,"49 St Olaves Rd, Toronto (W4785943) | Zoocasa",1900000,"$1,948,000",7,7,3500–5000 sq. ft.,3,*Absolutely Fab.Unique 3500Sqft Chateau & 1490Sqft 2 Bsmt Apt.Home Is Backing Onto Ravine & Rennie Park.Surrounded By Huge Black Oaks W/Multiple Decks.Built In 1959 As Duplex-Rebuilt & Converted To 7Bdrms & 7Baths Home.Lrg L/R W/Comb.Famrm W/Flr To Ceiling Windows & Frpl.2nd Flr Has Grand Rm W/Glass Ceiling & Walls W/Panoramic Views-Just Wow!Lrg Master W/Ensuite & Sitting Rm.3rd Fl Has 2Bdrms & Much More!,W4785943,Detached,https://www.zoocasa.com/toronto-on-real-estate/6904721-49-st-olaves-rd-toronto-on-m6s3h5-vow,"49 St Olaves Rd, Toronto , Ontario, Canada",43.6424867,-79.4750631,
4,"66 Ayers Cres N, Toronto (E4809317) | Zoocasa",720000,"$679,900",2,3,1100–1500 sq. ft.,2,"Newer, Cozy & Upgraded Mattamy Freehold Townhouse! Highly Desirable & Family-Friendly Location! Walk To Warden Subway, Bus, School, Grocery, Park & Shopping! Hardwood Floors Throughout Mf & 2f! Stone Countertop! Breakfast Bar! Potlights!",E4809317,Att/Row/Twnhouse,https://www.zoocasa.com/toronto-on-real-estate/6963728-66-ayers-cres-toronto-on-m1l0c4-vow,"66 Ayers Cres N, Toronto , Ontario, Canada",43.7168758,-79.2814609,
5,"618 Durie St, Toronto (W4808032) | Zoocasa",1350000,"$1,175,000",3,2,1100–1500 sq. ft.,2,"Delightfully Decadent Durie! You Will Fall In Love With This Updated ""Semi In The City"" That Holds Onto It'S Charming Hundred Years Of Character. Irresistible Curb Appeal And A Cozy Wooden Porch Retreat. Stained Glass Windows, Wainscotting And Crown Moulding. Kitchen Ss Appliances And A Passthrough. Closets In All 3 Bedrooms. Built-In Wine Rack Holds 54 Bottles & A Wet Bar. 2nd Basement 3-Piece. Large Backyard, Generous Deck And Detached Garage With 2 Spots!",W4808032,Semi-Detached,https://www.zoocasa.com/toronto-on-real-estate/6960329-618-durie-st-toronto-on-m6s3h1-vow,"618 Durie St, Toronto , Ontario, Canada",43.6619219,-79.483852,
6,"229 Manor Rd E, Toronto (C4802896) | Zoocasa",1950000,"$1,895,000",4,3,N/A sq. ft.,2,"Extensively Updated & Very Well Appointed Triplex In The Epicenter Of Davisville Village That Combines A Superb Blend Of Traditional & Contemporary Features & Finishes. 2 Bdrms + Generous Formal Living & Dining Rooms, Wood Burning Fireplaces & High-End Kitchens & Bathrooms In The Main Floor & Upper Suites. 1 Bdrm Unit On Lower Level Plus Lots Of Extra Storage. Private Back Garden Oasis. Rare Oversized 2 Car Garage Off The Lane W/ Laneway House Potential.",C4802896,Triplex,https://www.zoocasa.com/toronto-on-real-estate/6946674-229-manor-rd-e-toronto-on-m4s1r9-vow,"229 Manor Rd E, Toronto , Ontario, Canada",43.7042545,-79.38784439999999,
7,"1403 - 335 Mill Rd, Toronto (W4787345) | Zoocasa",510000,"$489,900",2,2,1000–1199 sq. ft.,1,"Fully Renovated Boutique Condo Available In Sought After Valencia Towers,Quiet Parklike Setting Near Etobicoke Creek.Well Maintained Building,Under 100 Units.Immaculate Apt With Crown Mouldings,Updated Kitchen With Granite Counters,Living/Dining Room Combo,Walkout To Large Open Balcony With Expansive,Unobstructed View.Master Has 2Pc Ensuite;4Pc Main Bath.Lots Of Natural Light,Neutral Decor,Move-In Condition.Outdoor Pool & Tennis Court,Close To All Amenities.",W4787345,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6908318-1403-335-mill-rd-toronto-on-m9c1y6-vow," 335 Mill Rd, Toronto , Ontario, Canada",43.6399965,-79.5845307,
8,"801 - 580 Christie St, Toronto (C4752027) | Zoocasa",590000,"$599,900",2,1,800–899 sq. ft.,1,"Gorgeous Toronto Location - Renovated Unit Across From Wychwood Barns With Weekly Market & Dog Park. Bright, Immaculate Spacious Unit Offers A Sleek Kitchen (2018), Larger Living Room With Wall-To-Wall Windows Offering An Unobstructed View - Ideal Mid - Town Location Is Within Walking Distance To All Amenities - Walk To Public Transit Into Subway - Easy Access In All Directions Including All Types Of Daily Food Shopping Wiht A Great Selection Of Restaurants.",C4752027,Co-Ownership Apt,https://www.zoocasa.com/toronto-on-real-estate/6816790-801-580-christie-st-toronto-on-m6g3e2-vow," 580 Christie St, Toronto , Ontario, Canada",43.6791739,-79.42483539999999,
9,"110 - 27 Brock Ave, Toronto (W4809204) | Zoocasa",756000,"$749,900",2,1,1000–1199 sq. ft.,0,"Large Rare Unit In The Famous Brock Lofts, An Authentic Loft Conversion In Parkdale!1890S Eureka Refrigerator Company.Over 1000 Square Feet With Exposed Brick Wall, Wood Beams, High Ceilings, Two  Bedrooms. Live/Work Zoning. Steps Away From Queen West.Gorgeous Shares Rooftop Patio With Bbq And Dining & Seating Areas.Ample Street Parking Available.Outdoor Bike Racks At Front Of Building.Intercom System And Remote Buzzer Access To Front Of The Brock Loft.",W4809204,Condo Apt,https://www.zoocasa.com/toronto-on-real-estate/6963755-110-27-brock-ave-toronto-on-m6k2k9-vow," 27 Brock Ave, Toronto , Ontario, Canada",43.6427714,-79.43244109999999,
