,link
0,b'toronto-on-real-estate/6975748-6-pendrith-st-toronto-on-m6g1r7-vow'
1,b'toronto-on-real-estate/6945334-10-rutherglen-rd-toronto-on-m4g-vow'
2,b'toronto-on-real-estate/6936239-135-st-leonards-ave-toronto-on-m4n1k6-vow'
3,b'toronto-on-real-estate/6904721-49-st-olaves-rd-toronto-on-m6s3h5-vow'
4,b'toronto-on-real-estate/6963728-66-ayers-cres-toronto-on-m1l0c4-vow'
5,b'toronto-on-real-estate/6960329-618-durie-st-toronto-on-m6s3h1-vow'
6,b'toronto-on-real-estate/6946674-229-manor-rd-e-toronto-on-m4s1r9-vow'
7,b'toronto-on-real-estate/6908318-1403-335-mill-rd-toronto-on-m9c1y6-vow'
8,b'toronto-on-real-estate/6816790-801-580-christie-st-toronto-on-m6g3e2-vow'
9,b'toronto-on-real-estate/6963755-110-27-brock-ave-toronto-on-m6k2k9-vow'
10,b'toronto-on-real-estate/6960309-101-greenock-ave-toronto-on-m1g3a2-vow'
11,b'toronto-on-real-estate/6952427-27-tiverton-ave-toronto-on-m4m2m1-vow'
12,b'toronto-on-real-estate/6950435-80-horsham-ave-toronto-on-m2n1z7-vow'
13,b'toronto-on-real-estate/6950049-904-10-delisle-ave-toronto-on-m4v3c6-vow'
14,b'toronto-on-real-estate/6940399-201-580-kingston-rd-toronto-on-m4e1p9-vow'
15,b'toronto-on-real-estate/6893201-4210-10-york-st-toronto-on-m5j2l9-vow'
16,b'toronto-on-real-estate/6893191-1009-50-ann-oreilly-rd-toronto-on-m2j1w8-vow'
17,b'toronto-on-real-estate/6869031-307-717-eglinton-ave-w-toronto-on-m5n1c9-vow'
18,b'toronto-on-real-estate/6968988-90-n-woodrow-blvd-toronto-on-m1k1w6-vow'
19,b'toronto-on-real-estate/6960373-604-2240-lake-shore-blvd-w-toronto-on-m8v0b1-vow'
20,b'toronto-on-real-estate/6954771-713-399-adelaide-st-w-toronto-on-m5v1s1-vow'
21,b'toronto-on-real-estate/6952423-81-rusholme-rd-toronto-on-m6j3h7-vow'
22,b'toronto-on-real-estate/6952141-3-endwood-rd-toronto-on-m9c3e1-vow'
23,b'toronto-on-real-estate/6946682-15-shortland-cres-toronto-on-m9r2t2-vow'
24,b'toronto-on-real-estate/6946459-501-707-eglinton-ave-w-toronto-on-m5n1c9-vow'
25,b'toronto-on-real-estate/6945820-620-233-carlaw-ave-toronto-on-m4m3n6-vow'
26,b'toronto-on-real-estate/6931985-11-89-lillian-st-toronto-on-m4s2h7-vow'
27,b'toronto-on-real-estate/6927135-118-20-southport-st-toronto-on-m6s4y8-vow'
28,b'toronto-on-real-estate/6918201-12-kirk-bradden-rd-w-toronto-on-m8y2e9-vow'
29,b'toronto-on-real-estate/6902960-56-60-winston-park-blvd-toronto-on-m3k1e6-vow'
30,b'toronto-on-real-estate/6898889-325-warren-rd-toronto-on-m5p2m7-vow'
31,b'toronto-on-real-estate/6846846-4102-955-bay-toronto-on-m5s2a2-vow'
32,b'toronto-on-real-estate/6957735-126-millicent-st-toronto-on-m6h1w4-vow'
33,b'toronto-on-real-estate/6962377-1216-33-harbour-sq-toronto-on-m5j2g4-vow'
34,b'toronto-on-real-estate/6957646-15-quietbrook-cres-toronto-on-m1x2b3-vow'
35,b'toronto-on-real-estate/6948219-2059-75-george-appleton-way-toronto-on-m3m0a2-vow'
36,b'toronto-on-real-estate/6948211-411-62-forest-manor-rd-toronto-on-m2j0b6-vow'
37,b'toronto-on-real-estate/6921368-2003-55-regent-park-blvd-toronto-on-m5a2b7-vow'
38,b'toronto-on-real-estate/6963745-5101-42-charles-st-e-toronto-on-m4y1t1-vow'
39,b'toronto-on-real-estate/6957621-46-alcorn-ave-toronto-on-m4v1e4-vow'
40,b'toronto-on-real-estate/6952542-144-fourth-st-toronto-on-m8v2y7-vow'
41,b'toronto-on-real-estate/6952146-3907-5-st-joseph-st-toronto-on-m4y0b6-vow'
42,b'toronto-on-real-estate/6950434-80-glencairn-ave-toronto-on-m4r1m8-vow'
43,b'toronto-on-real-estate/6948218-1504-15-zorra-st-toronto-on-m8z4z6-vow'
44,b'toronto-on-real-estate/6945768-191-wanless-ave-toronto-on-m4n1w4-vow'
